instance_uid,instance_id,origin,family,role,split,M,N,K,seed,p_min,p_max,p_mean,p_variance,e_min,e_max,e_mean,e_variance,c_min,c_max,c_mean,c_variance,data_p_path,data_e_path,data_c_path
syn_vls_m25_n250_k500_s20262424,100011,synthetic_vls,generated_vls,train_or_val,train,25,250,500,20262424,1,12,6.632,11.568576,1,6,3.96,2.6784,1,8,4.608,5.406336,synthetic_instances/Data_p100011.txt,synthetic_instances/Data_e100011.txt,synthetic_instances/Data_c100011.txt
syn_vls_m25_n250_k500_s20262425,100012,synthetic_vls,generated_vls,train_or_val,train,25,250,500,20262425,1,12,6.44,11.8864,1,6,3.08,3.0336,1,8,4.448,4.975296,synthetic_instances/Data_p100012.txt,synthetic_instances/Data_e100012.txt,synthetic_instances/Data_c100012.txt
syn_vls_m25_n300_k350_s20263420,100013,synthetic_vls,generated_vls,train_or_val,train,25,300,350,20263420,1,12,6.24,12.089066666666668,1,6,3.44,3.2864,1,8,4.474285714285714,4.969338775510204,synthetic_instances/Data_p100013.txt,synthetic_instances/Data_e100013.txt,synthetic_instances/Data_c100013.txt
syn_vls_m25_n300_k350_s20263421,100014,synthetic_vls,generated_vls,train_or_val,train,25,300,350,20263421,1,12,6.383333333333334,12.603055555555555,1,6,3.84,2.6144,1,8,4.362857142857143,5.305477551020408,synthetic_instances/Data_p100014.txt,synthetic_instances/Data_e100014.txt,synthetic_instances/Data_c100014.txt
syn_vls_m25_n300_k350_s20263422,100015,synthetic_vls,generated_vls,train_or_val,train,25,300,350,20263422,1,12,6.49,11.223233333333333,1,6,3.64,3.1904,1,8,4.488571428571428,5.415583673469388,synthetic_instances/Data_p100015.txt,synthetic_instances/Data_e100015.txt,synthetic_instances/Data_c100015.txt
syn_vls_m25_n300_k350_s20263423,100016,synthetic_vls,generated_vls,train_or_val,val,25,300,350,20263423,1,12,6.71,11.572566666666667,1,6,3.32,3.3376,1,8,4.354285714285714,5.4173387755102045,synthetic_instances/Data_p100016.txt,synthetic_instances/Data_e100016.txt,synthetic_instances/Data_c100016.txt
syn_vls_m25_n300_k350_s20263424,100017,synthetic_vls,generated_vls,train_or_val,train,25,300,350,20263424,1,12,6.38,11.428933333333333,1,6,3.2,2.88,1,8,4.514285714285714,5.415510204081633,synthetic_instances/Data_p100017.txt,synthetic_instances/Data_e100017.txt,synthetic_instances/Data_c100017.txt
syn_vls_m25_n300_k350_s20263425,100018,synthetic_vls,generated_vls,train_or_val,train,25,300,350,20263425,1,12,6.543333333333333,12.134788888888888,1,6,3.96,2.9984,1,8,4.248571428571428,5.078212244897959,synthetic_instances/Data_p100018.txt,synthetic_instances/Data_e100018.txt,synthetic_instances/Data_c100018.txt
syn_vls_m25_n300_k500_s20264420,100019,synthetic_vls,generated_vls,train_or_val,train,25,300,500,20264420,1,12,6.52,11.822933333333333,1,6,3.68,1.9776,1,8,4.532,5.224976,synthetic_instances/Data_p100019.txt,synthetic_instances/Data_e100019.txt,synthetic_instances/Data_c100019.txt
syn_vls_m25_n300_k500_s20264421,100020,synthetic_vls,generated_vls,train_or_val,train,25,300,500,20264421,1,12,6.803333333333334,11.824655555555555,1,6,3.8,2.8,1,8,4.484,5.465744,synthetic_instances/Data_p100020.txt,synthetic_instances/Data_e100020.txt,synthetic_instances/Data_c100020.txt
syn_vls_m25_n300_k500_s20264422,100021,synthetic_vls,generated_vls,train_or_val,train,25,300,500,20264422,1,12,6.63,11.726433333333333,1,6,3.16,1.8944,1,8,4.616,4.892544,synthetic_instances/Data_p100021.txt,synthetic_instances/Data_e100021.txt,synthetic_instances/Data_c100021.txt
syn_vls_m25_n300_k500_s20264423,100022,synthetic_vls,generated_vls,train_or_val,val,25,300,500,20264423,1,12,6.6866666666666665,12.708488888888889,1,6,3.68,3.0176,1,8,4.4,5.44,synthetic_instances/Data_p100022.txt,synthetic_instances/Data_e100022.txt,synthetic_instances/Data_c100022.txt
syn_vls_m25_n300_k500_s20264424,100023,synthetic_vls,generated_vls,train_or_val,train,25,300,500,20264424,1,12,6.86,11.547066666666666,1,6,3.76,3.0624,1,8,4.392,5.214336,synthetic_instances/Data_p100023.txt,synthetic_instances/Data_e100023.txt,synthetic_instances/Data_c100023.txt
syn_vls_m25_n300_k500_s20264425,100024,synthetic_vls,generated_vls,train_or_val,train,25,300,500,20264425,1,12,6.466666666666667,12.455555555555556,1,6,3.32,3.1776,1,8,4.564,5.149904,synthetic_instances/Data_p100024.txt,synthetic_instances/Data_e100024.txt,synthetic_instances/Data_c100024.txt
syn_vls_m25_n350_k350_s20265420,100025,synthetic_vls,generated_vls,train_or_val,train,25,350,350,20265420,1,12,6.2,12.24,1,6,3.68,2.9376,1,8,4.482857142857143,4.912563265306122,synthetic_instances/Data_p100025.txt,synthetic_instances/Data_e100025.txt,synthetic_instances/Data_c100025.txt
syn_vls_m25_n350_k350_s20265421,100026,synthetic_vls,generated_vls,train_or_val,train,25,350,350,20265421,1,12,6.491428571428571,12.787069387755102,1,6,3.56,3.2064,1,8,4.32,5.640457142857143,synthetic_instances/Data_p100026.txt,synthetic_instances/Data_e100026.txt,synthetic_instances/Data_c100026.txt
syn_vls_m25_n350_k350_s20265422,100027,synthetic_vls,generated_vls,train_or_val,train,25,350,350,20265422,1,12,6.411428571428571,12.059297959183674,1,6,3.84,1.8144,1,8,4.485714285714286,4.87265306122449,synthetic_instances/Data_p100027.txt,synthetic_instances/Data_e100027.txt,synthetic_instances/Data_c100027.txt
syn_vls_m25_n350_k350_s20265423,100028,synthetic_vls,generated_vls,train_or_val,train,25,350,350,20265423,1,12,6.682857142857143,11.60513469387755,1,6,3.8,2.32,1,8,4.385714285714286,5.328367346938776,synthetic_instances/Data_p100028.txt,synthetic_instances/Data_e100028.txt,synthetic_instances/Data_c100028.txt
syn_vls_m25_n350_k350_s20265424,100029,synthetic_vls,generated_vls,train_or_val,train,25,350,350,20265424,1,12,6.511428571428572,11.43844081632653,1,6,3.6,3.12,1,8,4.614285714285714,5.511224489795918,synthetic_instances/Data_p100029.txt,synthetic_instances/Data_e100029.txt,synthetic_instances/Data_c100029.txt
syn_vls_m25_n350_k350_s20265425,100030,synthetic_vls,generated_vls,train_or_val,val,25,350,350,20265425,1,12,6.494285714285715,11.718538775510204,1,6,3.48,3.2896,1,8,4.328571428571428,5.1748979591836735,synthetic_instances/Data_p100030.txt,synthetic_instances/Data_e100030.txt,synthetic_instances/Data_c100030.txt
syn_vls_m25_n350_k500_s20266420,100031,synthetic_vls,generated_vls,train_or_val,val,25,350,500,20266420,1,12,6.671428571428572,12.63204081632653,1,6,3.76,2.5024,1,8,4.518,4.965676,synthetic_instances/Data_p100031.txt,synthetic_instances/Data_e100031.txt,synthetic_instances/Data_c100031.txt
syn_vls_m25_n350_k500_s20266421,100032,synthetic_vls,generated_vls,train_or_val,train,25,350,500,20266421,1,12,6.897142857142857,12.26370612244898,1,6,3.68,3.4176,1,8,4.274,5.306924,synthetic_instances/Data_p100032.txt,synthetic_instances/Data_e100032.txt,synthetic_instances/Data_c100032.txt
syn_vls_m25_n350_k500_s20266422,100033,synthetic_vls,generated_vls,train_or_val,train,25,350,500,20266422,1,12,6.54,12.0484,1,6,3.84,2.9344,1,8,4.54,5.2164,synthetic_instances/Data_p100033.txt,synthetic_instances/Data_e100033.txt,synthetic_instances/Data_c100033.txt
syn_vls_m25_n350_k500_s20266423,100034,synthetic_vls,generated_vls,train_or_val,train,25,350,500,20266423,1,12,6.448571428571428,11.56164081632653,1,6,3.52,2.7296,1,8,4.578,4.675916,synthetic_instances/Data_p100034.txt,synthetic_instances/Data_e100034.txt,synthetic_instances/Data_c100034.txt
syn_vls_m25_n350_k500_s20266424,100035,synthetic_vls,generated_vls,train_or_val,train,25,350,500,20266424,1,12,6.1571428571428575,11.892448979591837,1,6,3.96,2.9184,1,8,4.302,4.886796,synthetic_instances/Data_p100035.txt,synthetic_instances/Data_e100035.txt,synthetic_instances/Data_c100035.txt
syn_vls_m25_n350_k500_s20266425,100036,synthetic_vls,generated_vls,train_or_val,train,25,350,500,20266425,1,12,6.6571428571428575,12.042448979591837,1,6,3.84,2.9344,1,8,4.52,5.3216,synthetic_instances/Data_p100036.txt,synthetic_instances/Data_e100036.txt,synthetic_instances/Data_c100036.txt
syn_vls_m25_n400_k350_s20267420,100037,synthetic_vls,generated_vls,train_or_val,train,25,400,350,20267420,1,12,6.545,11.247975,1,6,3.48,2.6496,1,8,4.454285714285715,5.099338775510204,synthetic_instances/Data_p100037.txt,synthetic_instances/Data_e100037.txt,synthetic_instances/Data_c100037.txt
syn_vls_m25_n400_k350_s20267421,100038,synthetic_vls,generated_vls,train_or_val,train,25,400,350,20267421,1,12,6.5525,12.27224375,1,6,3.56,3.0464,1,8,4.602857142857143,5.085134693877551,synthetic_instances/Data_p100038.txt,synthetic_instances/Data_e100038.txt,synthetic_instances/Data_c100038.txt
syn_vls_m25_n400_k350_s20267422,100039,synthetic_vls,generated_vls,train_or_val,train,25,400,350,20267422,1,12,6.27,11.0371,1,6,4.04,2.9184,1,8,4.44,5.229257142857143,synthetic_instances/Data_p100039.txt,synthetic_instances/Data_e100039.txt,synthetic_instances/Data_c100039.txt
syn_vls_m25_n400_k350_s20267423,100040,synthetic_vls,generated_vls,train_or_val,train,25,400,350,20267423,1,12,6.6275,12.38874375,1,6,3.56,3.6864,1,8,4.64,4.9104,synthetic_instances/Data_p100040.txt,synthetic_instances/Data_e100040.txt,synthetic_instances/Data_c100040.txt
syn_vls_m25_n400_k350_s20267424,100041,synthetic_vls,generated_vls,train_or_val,val,25,400,350,20267424,1,12,6.58,12.6186,1,6,3.8,2.32,1,8,4.497142857142857,5.467134693877551,synthetic_instances/Data_p100041.txt,synthetic_instances/Data_e100041.txt,synthetic_instances/Data_c100041.txt
syn_vls_m25_n400_k350_s20267425,100042,synthetic_vls,generated_vls,train_or_val,train,25,400,350,20267425,1,12,6.705,12.612975,1,6,3.08,2.7136,1,8,4.54,5.162685714285714,synthetic_instances/Data_p100042.txt,synthetic_instances/Data_e100042.txt,synthetic_instances/Data_c100042.txt
syn_vls_m25_n400_k500_s20268420,100043,synthetic_vls,generated_vls,train_or_val,train,25,400,500,20268420,1,12,6.6625,11.52859375,1,6,3.0,2.88,1,8,4.512,5.381856,synthetic_instances/Data_p100043.txt,synthetic_instances/Data_e100043.txt,synthetic_instances/Data_c100043.txt
syn_vls_m25_n400_k500_s20268421,100044,synthetic_vls,generated_vls,train_or_val,val,25,400,500,20268421,1,12,6.5,12.445,1,6,3.56,2.9664,1,8,4.394,5.250764,synthetic_instances/Data_p100044.txt,synthetic_instances/Data_e100044.txt,synthetic_instances/Data_c100044.txt
syn_vls_m25_n400_k500_s20268422,100045,synthetic_vls,generated_vls,train_or_val,train,25,400,500,20268422,1,12,6.6575,11.63019375,1,6,2.84,2.0544,1,8,4.502,5.029996,synthetic_instances/Data_p100045.txt,synthetic_instances/Data_e100045.txt,synthetic_instances/Data_c100045.txt
syn_vls_m25_n400_k500_s20268423,100046,synthetic_vls,generated_vls,train_or_val,train,25,400,500,20268423,1,12,6.56,11.8714,1,6,3.24,2.8224,1,8,4.44,5.2664,synthetic_instances/Data_p100046.txt,synthetic_instances/Data_e100046.txt,synthetic_instances/Data_c100046.txt
syn_vls_m25_n400_k500_s20268424,100047,synthetic_vls,generated_vls,train_or_val,train,25,400,500,20268424,1,12,6.49,11.6749,1,6,3.32,3.6576,1,8,4.51,5.0939,synthetic_instances/Data_p100047.txt,synthetic_instances/Data_e100047.txt,synthetic_instances/Data_c100047.txt
syn_vls_m25_n400_k500_s20268425,100048,synthetic_vls,generated_vls,train_or_val,train,25,400,500,20268425,1,12,6.405,11.755975,1,6,4.0,3.36,1,8,4.44,5.7784,synthetic_instances/Data_p100048.txt,synthetic_instances/Data_e100048.txt,synthetic_instances/Data_c100048.txt
syn_vls_m25_n500_k350_s20269420,100049,synthetic_vls,generated_vls,train_or_val,train,25,500,350,20269420,1,12,6.542,11.812236,1,6,3.32,3.1776,1,8,4.365714285714286,5.22625306122449,synthetic_instances/Data_p100049.txt,synthetic_instances/Data_e100049.txt,synthetic_instances/Data_c100049.txt
syn_vls_m25_n500_k350_s20269421,100050,synthetic_vls,generated_vls,train_or_val,train,25,500,350,20269421,1,12,6.51,11.1539,1,6,3.4,3.44,1,8,4.6257142857142854,4.908481632653062,synthetic_instances/Data_p100050.txt,synthetic_instances/Data_e100050.txt,synthetic_instances/Data_c100050.txt
syn_vls_m25_n500_k350_s20269422,100051,synthetic_vls,generated_vls,train_or_val,train,25,500,350,20269422,1,12,6.632,11.648576,1,6,4.12,2.5056,1,8,4.437142857142857,5.566048979591836,synthetic_instances/Data_p100051.txt,synthetic_instances/Data_e100051.txt,synthetic_instances/Data_c100051.txt
syn_vls_m25_n500_k350_s20269423,100052,synthetic_vls,generated_vls,train_or_val,val,25,500,350,20269423,1,12,6.468,11.864976,1,6,3.72,2.4416,1,8,4.668571428571428,5.307297959183673,synthetic_instances/Data_p100052.txt,synthetic_instances/Data_e100052.txt,synthetic_instances/Data_c100052.txt
syn_vls_m25_n500_k350_s20269424,100053,synthetic_vls,generated_vls,train_or_val,train,25,500,350,20269424,1,12,6.688,10.782656,1,6,3.6,3.44,1,8,4.534285714285715,5.243110204081633,synthetic_instances/Data_p100053.txt,synthetic_instances/Data_e100053.txt,synthetic_instances/Data_c100053.txt
syn_vls_m25_n500_k350_s20269425,100054,synthetic_vls,generated_vls,train_or_val,train,25,500,350,20269425,1,12,6.64,12.0864,1,6,3.92,3.4336,1,8,4.305714285714286,5.01225306122449,synthetic_instances/Data_p100054.txt,synthetic_instances/Data_e100054.txt,synthetic_instances/Data_c100054.txt
syn_vls_m25_n500_k500_s20270420,100055,synthetic_vls,generated_vls,train_or_val,train,25,500,500,20270420,1,12,6.68,11.4416,1,6,3.68,3.1776,1,8,4.56,5.2624,synthetic_instances/Data_p100055.txt,synthetic_instances/Data_e100055.txt,synthetic_instances/Data_c100055.txt
syn_vls_m25_n500_k500_s20270421,100056,synthetic_vls,generated_vls,train_or_val,train,25,500,500,20270421,1,12,6.578,11.327916,1,6,3.12,2.5856,1,8,4.56,5.2464,synthetic_instances/Data_p100056.txt,synthetic_instances/Data_e100056.txt,synthetic_instances/Data_c100056.txt
syn_vls_m25_n500_k500_s20270422,100057,synthetic_vls,generated_vls,train_or_val,train,25,500,500,20270422,1,12,6.382,11.580076,1,6,3.36,3.3504,1,8,4.346,5.358284,synthetic_instances/Data_p100057.txt,synthetic_instances/Data_e100057.txt,synthetic_instances/Data_c100057.txt
syn_vls_m25_n500_k500_s20270423,100058,synthetic_vls,generated_vls,train_or_val,train,25,500,500,20270423,1,12,6.774,11.550924,1,6,4.28,3.0016,1,8,4.432,5.141376,synthetic_instances/Data_p100058.txt,synthetic_instances/Data_e100058.txt,synthetic_instances/Data_c100058.txt
syn_vls_m25_n500_k500_s20270424,100059,synthetic_vls,generated_vls,train_or_val,train,25,500,500,20270424,1,12,6.546,11.019884,1,6,3.76,2.5024,1,8,4.488,5.017856,synthetic_instances/Data_p100059.txt,synthetic_instances/Data_e100059.txt,synthetic_instances/Data_c100059.txt
syn_vls_m25_n500_k500_s20270425,100060,synthetic_vls,generated_vls,train_or_val,val,25,500,500,20270425,1,12,6.212,11.907056,1,6,3.16,2.6144,1,8,4.482,5.037676,synthetic_instances/Data_p100060.txt,synthetic_instances/Data_e100060.txt,synthetic_instances/Data_c100060.txt
syn_vls_m30_n250_k350_s20271420,100061,synthetic_vls,generated_vls,train_or_val,train,30,250,350,20271420,1,12,6.224,11.517824,1,6,3.533333333333333,3.048888888888889,1,8,4.7371428571428575,4.999477551020409,synthetic_instances/Data_p100061.txt,synthetic_instances/Data_e100061.txt,synthetic_instances/Data_c100061.txt
syn_vls_m30_n250_k350_s20271421,100062,synthetic_vls,generated_vls,train_or_val,train,30,250,350,20271421,1,12,6.776,12.469824,1,6,3.466666666666667,2.582222222222222,1,8,4.371428571428571,5.319183673469388,synthetic_instances/Data_p100062.txt,synthetic_instances/Data_e100062.txt,synthetic_instances/Data_c100062.txt
syn_vls_m30_n250_k350_s20271422,100063,synthetic_vls,generated_vls,train_or_val,train,30,250,350,20271422,1,12,6.18,11.9796,1,6,3.466666666666667,2.582222222222222,1,8,4.565714285714286,4.748538775510204,synthetic_instances/Data_p100063.txt,synthetic_instances/Data_e100063.txt,synthetic_instances/Data_c100063.txt
syn_vls_m30_n250_k350_s20271423,100064,synthetic_vls,generated_vls,train_or_val,train,30,250,350,20271423,1,12,6.624,12.162624,1,6,3.9,2.8233333333333333,1,8,4.214285714285714,5.414081632653061,synthetic_instances/Data_p100064.txt,synthetic_instances/Data_e100064.txt,synthetic_instances/Data_c100064.txt
syn_vls_m30_n250_k350_s20271424,100065,synthetic_vls,generated_vls,train_or_val,val,30,250,350,20271424,1,12,5.996,12.803984,1,6,3.8333333333333335,2.5388888888888888,1,8,4.485714285714286,5.598367346938775,synthetic_instances/Data_p100065.txt,synthetic_instances/Data_e100065.txt,synthetic_instances/Data_c100065.txt
syn_vls_m30_n250_k350_s20271425,100066,synthetic_vls,generated_vls,train_or_val,train,30,250,350,20271425,1,12,6.86,12.2324,1,6,3.8666666666666667,2.382222222222222,1,8,4.5685714285714285,5.365297959183674,synthetic_instances/Data_p100066.txt,synthetic_instances/Data_e100066.txt,synthetic_instances/Data_c100066.txt
syn_vls_m30_n250_k500_s20272420,100067,synthetic_vls,generated_vls,train_or_val,train,30,250,500,20272420,1,12,6.564,11.261904,1,6,3.3333333333333335,2.8222222222222224,1,8,4.678,5.370316,synthetic_instances/Data_p100067.txt,synthetic_instances/Data_e100067.txt,synthetic_instances/Data_c100067.txt
syn_vls_m30_n250_k500_s20272421,100068,synthetic_vls,generated_vls,train_or_val,val,30,250,500,20272421,1,12,6.52,11.6416,1,6,3.0,3.6666666666666665,1,8,4.426,5.608524,synthetic_instances/Data_p100068.txt,synthetic_instances/Data_e100068.txt,synthetic_instances/Data_c100068.txt
syn_vls_m30_n250_k500_s20272422,100069,synthetic_vls,generated_vls,train_or_val,train,30,250,500,20272422,1,12,6.604,12.423184,1,6,3.4,2.7066666666666666,1,8,4.546,5.175884,synthetic_instances/Data_p100069.txt,synthetic_instances/Data_e100069.txt,synthetic_instances/Data_c100069.txt
syn_vls_m30_n250_k500_s20272423,100070,synthetic_vls,generated_vls,train_or_val,train,30,250,500,20272423,1,12,7.04,11.3424,1,6,3.8333333333333335,2.738888888888889,1,8,4.396,4.911184,synthetic_instances/Data_p100070.txt,synthetic_instances/Data_e100070.txt,synthetic_instances/Data_c100070.txt
syn_vls_m30_n250_k500_s20272424,100071,synthetic_vls,generated_vls,train_or_val,train,30,250,500,20272424,1,12,6.34,12.2564,1,6,3.533333333333333,2.1822222222222223,1,8,4.498,5.221996,synthetic_instances/Data_p100071.txt,synthetic_instances/Data_e100071.txt,synthetic_instances/Data_c100071.txt
syn_vls_m30_n250_k500_s20272425,100072,synthetic_vls,generated_vls,train_or_val,train,30,250,500,20272425,1,12,6.524,12.673424,1,6,4.033333333333333,3.0322222222222224,1,8,4.514,5.121804,synthetic_instances/Data_p100072.txt,synthetic_instances/Data_e100072.txt,synthetic_instances/Data_c100072.txt
syn_vls_m30_n300_k350_s20273420,100073,synthetic_vls,generated_vls,train_or_val,train,30,300,350,20273420,1,12,6.373333333333333,12.220622222222222,1,6,3.6666666666666665,2.2222222222222223,1,8,4.514285714285714,4.809795918367347,synthetic_instances/Data_p100073.txt,synthetic_instances/Data_e100073.txt,synthetic_instances/Data_c100073.txt
syn_vls_m30_n300_k350_s20273421,100074,synthetic_vls,generated_vls,train_or_val,train,30,300,350,20273421,1,12,6.42,11.796933333333333,1,6,3.533333333333333,2.848888888888889,1,8,4.445714285714286,5.029910204081633,synthetic_instances/Data_p100074.txt,synthetic_instances/Data_e100074.txt,synthetic_instances/Data_c100074.txt
syn_vls_m30_n300_k350_s20273422,100075,synthetic_vls,generated_vls,train_or_val,train,30,300,350,20273422,1,12,6.513333333333334,10.63648888888889,1,6,3.7666666666666666,2.2455555555555557,1,8,4.5285714285714285,5.454897959183674,synthetic_instances/Data_p100075.txt,synthetic_instances/Data_e100075.txt,synthetic_instances/Data_c100075.txt
syn_vls_m30_n300_k350_s20273423,100076,synthetic_vls,generated_vls,train_or_val,train,30,300,350,20273423,1,12,6.6,11.126666666666667,1,6,3.6333333333333333,2.0322222222222224,1,8,4.5685714285714285,5.245297959183674,synthetic_instances/Data_p100076.txt,synthetic_instances/Data_e100076.txt,synthetic_instances/Data_c100076.txt
syn_vls_m30_n300_k350_s20273424,100077,synthetic_vls,generated_vls,train_or_val,val,30,300,350,20273424,1,12,6.193333333333333,10.92928888888889,1,6,4.4,2.3066666666666666,1,8,4.7371428571428575,5.028048979591837,synthetic_instances/Data_p100077.txt,synthetic_instances/Data_e100077.txt,synthetic_instances/Data_c100077.txt
syn_vls_m30_n300_k350_s20273425,100078,synthetic_vls,generated_vls,train_or_val,train,30,300,350,20273425,1,12,6.993333333333333,11.89328888888889,1,6,3.7333333333333334,2.462222222222222,1,8,4.345714285714286,5.500481632653061,synthetic_instances/Data_p100078.txt,synthetic_instances/Data_e100078.txt,synthetic_instances/Data_c100078.txt
syn_vls_m30_n300_k500_s20274420,100079,synthetic_vls,generated_vls,train_or_val,val,30,300,500,20274420,1,12,6.53,13.222433333333333,1,6,3.6,3.24,1,8,4.452,5.823696,synthetic_instances/Data_p100079.txt,synthetic_instances/Data_e100079.txt,synthetic_instances/Data_c100079.txt
syn_vls_m30_n300_k500_s20274421,100080,synthetic_vls,generated_vls,train_or_val,train,30,300,500,20274421,1,12,6.6466666666666665,11.468488888888889,1,6,3.4,3.44,1,8,4.308,5.309136,synthetic_instances/Data_p100080.txt,synthetic_instances/Data_e100080.txt,synthetic_instances/Data_c100080.txt
syn_vls_m30_n300_k500_s20274422,100081,synthetic_vls,generated_vls,train_or_val,train,30,300,500,20274422,1,12,6.406666666666666,11.847955555555556,1,6,3.2666666666666666,2.3955555555555557,1,8,4.584,5.082944,synthetic_instances/Data_p100081.txt,synthetic_instances/Data_e100081.txt,synthetic_instances/Data_c100081.txt
syn_vls_m30_n300_k500_s20274423,100082,synthetic_vls,generated_vls,train_or_val,train,30,300,500,20274423,1,12,6.266666666666667,12.148888888888889,1,6,3.4,2.24,1,8,4.39,5.3099,synthetic_instances/Data_p100082.txt,synthetic_instances/Data_e100082.txt,synthetic_instances/Data_c100082.txt
syn_vls_m30_n300_k500_s20274424,100083,synthetic_vls,generated_vls,train_or_val,train,30,300,500,20274424,1,12,6.6066666666666665,11.76528888888889,1,6,3.1333333333333333,3.382222222222222,1,8,4.568,5.065376,synthetic_instances/Data_p100083.txt,synthetic_instances/Data_e100083.txt,synthetic_instances/Data_c100083.txt
syn_vls_m30_n300_k500_s20274425,100084,synthetic_vls,generated_vls,train_or_val,train,30,300,500,20274425,1,12,6.553333333333334,11.740488888888889,1,6,3.533333333333333,2.582222222222222,1,8,4.436,5.405904,synthetic_instances/Data_p100084.txt,synthetic_instances/Data_e100084.txt,synthetic_instances/Data_c100084.txt
syn_vls_m30_n350_k350_s20275420,100085,synthetic_vls,generated_vls,train_or_val,train,30,350,350,20275420,1,12,6.56,11.840685714285714,1,6,3.4,3.1066666666666665,1,8,4.382857142857143,5.459134693877551,synthetic_instances/Data_p100085.txt,synthetic_instances/Data_e100085.txt,synthetic_instances/Data_c100085.txt
syn_vls_m30_n350_k350_s20275421,100086,synthetic_vls,generated_vls,train_or_val,train,30,350,350,20275421,1,12,6.4,12.0,1,6,3.2,2.4266666666666667,1,8,4.457142857142857,5.631020408163265,synthetic_instances/Data_p100086.txt,synthetic_instances/Data_e100086.txt,synthetic_instances/Data_c100086.txt
syn_vls_m30_n350_k350_s20275422,100087,synthetic_vls,generated_vls,train_or_val,val,30,350,350,20275422,1,12,6.408571428571428,11.904497959183674,1,6,3.3666666666666667,2.898888888888889,1,8,4.434285714285714,5.228538775510204,synthetic_instances/Data_p100087.txt,synthetic_instances/Data_e100087.txt,synthetic_instances/Data_c100087.txt
syn_vls_m30_n350_k350_s20275423,100088,synthetic_vls,generated_vls,train_or_val,train,30,350,350,20275423,1,12,6.44,11.65782857142857,1,6,3.8,3.0933333333333333,1,8,4.277142857142858,5.280334693877551,synthetic_instances/Data_p100088.txt,synthetic_instances/Data_e100088.txt,synthetic_instances/Data_c100088.txt
