batch_id,bucket,split,instance_uid,instance_id,seed,M,N,K,sum_p,p_max,epsilon_lb,epsilon_used,epsilon_stress,status,attempts_total,retries_used,solver_return_code,solver_feasible,solver_runtime_sec_reported,solver_variant_reported,wall_runtime_sec,max_rss_bytes,exact_labeled_moves,exact_positive_improving,exact_negative_non_improving,positive_rate_instance,stderr_tail,exact_file,broad_file
m25_n250_k500,m25_n250_k500,train,syn_vls_m25_n250_k500_s20262425,100012,20262425,25,250,500,1610,12,65,73,0.146,ok,1,0,0,1,0.739098,stageO_synthetic_dense_logging,0.751732,7471104,1792,1273,519,0.71037946,                1108  involuntary context switches\n          6455299984  instructions retired\n          1772377977  cycles elapsed\n             6717800  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100012_eps_73.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100012_eps_73.csv
m25_n250_k500,m25_n250_k500,val,syn_vls_m25_n250_k500_s20262423,100010,20262423,25,250,500,1670,12,67,75,0.15,ok,1,0,0,1,1.001438,stageO_synthetic_dense_logging,1.016432,10321920,1789,1297,492,0.72498603,                1721  involuntary context switches\n          7160949242  instructions retired\n          2257151943  cycles elapsed\n             9585024  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100010_eps_75.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100010_eps_75.csv
m25_n300_k350,m25_n300_k350,train,syn_vls_m25_n300_k350_s20263420,100013,20263420,25,300,350,1872,12,75,83,0.23714286,ok,1,0,0,1,1.025348,stageO_synthetic_dense_logging,1.039599,12091392,1792,1032,760,0.57589286,                2170  involuntary context switches\n          7995731314  instructions retired\n          2156277521  cycles elapsed\n            11354496  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100013_eps_83.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100013_eps_83.csv
m25_n300_k350,m25_n300_k350,train,syn_vls_m25_n300_k350_s20263421,100014,20263421,25,300,350,1915,12,77,85,0.24285714,ok,1,0,0,1,0.937103,stageO_synthetic_dense_logging,0.952355,11927552,1792,1650,142,0.92075893,                1186  involuntary context switches\n          7966068225  instructions retired\n          2211153424  cycles elapsed\n            11190656  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100014_eps_85.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100014_eps_85.csv
m25_n300_k350,m25_n300_k350,train,syn_vls_m25_n300_k350_s20263422,100015,20263422,25,300,350,1947,12,78,86,0.24571429,ok,1,0,0,1,1.217870,stageO_synthetic_dense_logging,1.230517,12582912,1792,1221,571,0.68136161,                1649  involuntary context switches\n          9071407834  instructions retired\n          2883025555  cycles elapsed\n            11846016  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100015_eps_86.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100015_eps_86.csv
m25_n300_k350,m25_n300_k350,train,syn_vls_m25_n300_k350_s20263424,100017,20263424,25,300,350,1914,12,77,85,0.24285714,ok,1,0,0,1,1.717584,stageO_synthetic_dense_logging,1.730233,17580032,1792,1186,606,0.66183036,                2047  involuntary context switches\n         10795687347  instructions retired\n          3690392253  cycles elapsed\n            17039744  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100017_eps_85.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100017_eps_85.csv
m25_n300_k350,m25_n300_k350,train,syn_vls_m25_n300_k350_s20263425,100018,20263425,25,300,350,1963,12,79,87,0.24857143,ok,1,0,0,1,1.332533,stageO_synthetic_dense_logging,1.345101,14303232,1792,1706,86,0.95200893,                1386  involuntary context switches\n         10120617668  instructions retired\n          3119271653  cycles elapsed\n            13566336  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100018_eps_87.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100018_eps_87.csv
m25_n300_k350,m25_n300_k350,val,syn_vls_m25_n300_k350_s20263423,100016,20263423,25,300,350,2013,12,81,89,0.25428571,ok,1,0,0,1,1.668448,stageO_synthetic_dense_logging,1.681476,17154048,1792,1298,494,0.72433036,                2216  involuntary context switches\n         11590825640  instructions retired\n          3797359686  cycles elapsed\n            16155008  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100016_eps_89.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100016_eps_89.csv
m25_n300_k500,m25_n300_k500,train,syn_vls_m25_n300_k500_s20264420,100019,20264420,25,300,500,1956,12,79,87,0.174,ok,1,0,0,1,2.583125,stageO_synthetic_dense_logging,2.611086,27951104,1792,1166,626,0.65066964,                4188  involuntary context switches\n         13474095586  instructions retired\n          5478784771  cycles elapsed\n            27476352  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100019_eps_87.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100019_eps_87.csv
m25_n300_k500,m25_n300_k500,train,syn_vls_m25_n300_k500_s20264421,100020,20264421,25,300,500,2041,12,82,90,0.18,ok,1,0,0,1,2.152267,stageO_synthetic_dense_logging,2.166778,18939904,1792,1645,147,0.91796875,                1795  involuntary context switches\n         13326649204  instructions retired\n          5183194962  cycles elapsed\n            18219392  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100020_eps_90.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100020_eps_90.csv
m25_n300_k500,m25_n300_k500,train,syn_vls_m25_n300_k500_s20264422,100021,20264422,25,300,500,1989,12,80,88,0.176,ok,1,0,0,1,1.367436,stageO_synthetic_dense_logging,1.378254,14598144,1792,1266,526,0.70647321,                 763  involuntary context switches\n         10351627587  instructions retired\n          3312389525  cycles elapsed\n            13861248  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100021_eps_88.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100021_eps_88.csv
m25_n300_k500,m25_n300_k500,train,syn_vls_m25_n300_k500_s20264424,100023,20264424,25,300,500,2058,12,83,91,0.182,ok,1,0,0,1,1.253234,stageO_synthetic_dense_logging,1.266428,9256960,1792,1290,502,0.71986607,                 541  involuntary context switches\n         10260749731  instructions retired\n          3032294032  cycles elapsed\n             8470912  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100023_eps_91.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100023_eps_91.csv
m25_n300_k500,m25_n300_k500,train,syn_vls_m25_n300_k500_s20264425,100024,20264425,25,300,500,1940,12,78,86,0.172,ok,1,0,0,1,0.942207,stageO_synthetic_dense_logging,0.953596,14270464,1792,1204,588,0.671875,                 324  involuntary context switches\n          8671802501  instructions retired\n          2303984570  cycles elapsed\n            13517160  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100024_eps_86.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100024_eps_86.csv
m25_n300_k500,m25_n300_k500,val,syn_vls_m25_n300_k500_s20264423,100022,20264423,25,300,500,2006,12,81,89,0.178,ok,1,0,0,1,1.723350,stageO_synthetic_dense_logging,1.735904,10911744,1792,1151,641,0.64229911,                2616  involuntary context switches\n         11148134817  instructions retired\n          3901863551  cycles elapsed\n            10191232  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100022_eps_89.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100022_eps_89.csv
m25_n350_k350,m25_n350_k350,train,syn_vls_m25_n350_k350_s20265420,100025,20265420,25,350,350,2170,12,87,95,0.27142857,ok,1,0,0,1,1.259688,stageO_synthetic_dense_logging,1.300773,7061504,1792,1289,503,0.71930804,                3113  involuntary context switches\n         10379116051  instructions retired\n          2947075380  cycles elapsed\n             6570368  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100025_eps_95.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100025_eps_95.csv
m25_n350_k350,m25_n350_k350,train,syn_vls_m25_n350_k350_s20265421,100026,20265421,25,350,350,2272,12,91,99,0.28285714,ok,1,0,0,1,2.010054,stageO_synthetic_dense_logging,2.023121,23199744,1792,1346,446,0.75111607,                2693  involuntary context switches\n         14105111439  instructions retired\n          4609076585  cycles elapsed\n            22135168  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100026_eps_99.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100026_eps_99.csv
m25_n350_k350,m25_n350_k350,train,syn_vls_m25_n350_k350_s20265422,100027,20265422,25,350,350,2244,12,90,98,0.28,ok,1,0,0,1,1.087999,stageO_synthetic_dense_logging,1.099607,7798784,1792,1055,737,0.58872768,                 567  involuntary context switches\n         10448189952  instructions retired\n          2652254938  cycles elapsed\n             7045480  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100027_eps_98.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100027_eps_98.csv
m25_n350_k350,m25_n350_k350,train,syn_vls_m25_n350_k350_s20265423,100028,20265423,25,350,350,2339,12,94,102,0.29142857,ok,1,0,0,1,8.051108,stageO_synthetic_dense_logging,8.062502,65110016,1792,1178,614,0.65736607,                8485  involuntary context switches\n         33014034750  instructions retired\n         17919648818  cycles elapsed\n            53969304  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100028_eps_102.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100028_eps_102.csv
m25_n350_k350,m25_n350_k350,train,syn_vls_m25_n350_k350_s20265424,100029,20265424,25,350,350,2279,12,92,100,0.28571429,ok,1,0,0,1,2.042066,stageO_synthetic_dense_logging,2.054537,15499264,1792,1307,485,0.72935268,                1688  involuntary context switches\n         13801673141  instructions retired\n          4483836039  cycles elapsed\n            14762368  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100029_eps_100.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100029_eps_100.csv
m25_n350_k350,m25_n350_k350,val,syn_vls_m25_n350_k350_s20265425,100030,20265425,25,350,350,2273,12,91,99,0.28285714,ok,1,0,0,1,2.618643,stageO_synthetic_dense_logging,2.631674,27869184,1792,1334,458,0.74441964,                1979  involuntary context switches\n         15460090625  instructions retired\n          5414764852  cycles elapsed\n            27181440  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100030_eps_99.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100030_eps_99.csv
m25_n350_k500,m25_n350_k500,train,syn_vls_m25_n350_k500_s20266421,100032,20266421,25,350,500,2414,12,97,105,0.21,ok,1,0,0,1,6.165506,stageO_synthetic_dense_logging,6.176205,36814848,1792,1282,510,0.71540179,                6734  involuntary context switches\n         27278698326  instructions retired\n         13349055802  cycles elapsed\n            35635584  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100032_eps_105.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100032_eps_105.csv
m25_n350_k500,m25_n350_k500,train,syn_vls_m25_n350_k500_s20266422,100033,20266422,25,350,500,2289,12,92,100,0.2,ok,1,0,0,1,4.566376,stageO_synthetic_dense_logging,4.580357,33112064,1792,1261,531,0.70368304,                4065  involuntary context switches\n         21702794866  instructions retired\n          9709519962  cycles elapsed\n            32080256  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100033_eps_100.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100033_eps_100.csv
m25_n350_k500,m25_n350_k500,train,syn_vls_m25_n350_k500_s20266423,100034,20266423,25,350,500,2257,12,91,99,0.198,ok,1,0,0,1,2.507833,stageO_synthetic_dense_logging,2.520306,32636928,1792,1276,516,0.71205357,                3042  involuntary context switches\n         14929799784  instructions retired\n          5208089079  cycles elapsed\n            31539584  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100034_eps_99.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100034_eps_99.csv
m25_n350_k500,m25_n350_k500,train,syn_vls_m25_n350_k500_s20266424,100035,20266424,25,350,500,2155,12,87,95,0.19,ok,1,0,0,1,1.884517,stageO_synthetic_dense_logging,1.896597,12419072,1792,1638,154,0.9140625,                2864  involuntary context switches\n         11167368329  instructions retired\n          3423556400  cycles elapsed\n            12026240  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100035_eps_95.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100035_eps_95.csv
m25_n350_k500,m25_n350_k500,train,syn_vls_m25_n350_k500_s20266425,100036,20266425,25,350,500,2330,12,94,102,0.204,ok,1,0,0,1,1.487212,stageO_synthetic_dense_logging,1.500293,23314432,1792,1494,298,0.83370536,                1395  involuntary context switches\n         11345716856  instructions retired\n          3135515254  cycles elapsed\n            22577536  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100036_eps_102.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100036_eps_102.csv
m25_n350_k500,m25_n350_k500,val,syn_vls_m25_n350_k500_s20266420,100031,20266420,25,350,500,2335,12,94,102,0.204,ok,1,0,0,1,5.104677,stageO_synthetic_dense_logging,5.117337,40304640,1792,1470,322,0.8203125,                6441  involuntary context switches\n         25151083988  instructions retired\n         11552824788  cycles elapsed\n            36585856  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100031_eps_102.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100031_eps_102.csv
m25_n400_k350,m25_n400_k350,train,syn_vls_m25_n400_k350_s20267420,100037,20267420,25,400,350,2618,12,105,113,0.32285714,ok,1,0,0,1,2.254331,stageO_synthetic_dense_logging,2.2655,19202048,1792,1235,557,0.68917411,                3179  involuntary context switches\n         16309169021  instructions retired\n          4866234141  cycles elapsed\n            18481536  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100037_eps_113.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100037_eps_113.csv
m25_n400_k350,m25_n400_k350,train,syn_vls_m25_n400_k350_s20267421,100038,20267421,25,400,350,2621,12,105,113,0.32285714,ok,1,0,0,1,4.519062,stageO_synthetic_dense_logging,4.530656,24166400,1792,1262,530,0.70424107,                2006  involuntary context switches\n         25529695108  instructions retired\n         10990812689  cycles elapsed\n            21922176  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100038_eps_113.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100038_eps_113.csv
m25_n400_k350,m25_n400_k350,train,syn_vls_m25_n400_k350_s20267422,100039,20267422,25,400,350,2508,12,101,109,0.31142857,ok,1,0,0,1,3.943680,stageO_synthetic_dense_logging,3.955627,32391168,1792,1440,352,0.80357143,                2761  involuntary context switches\n         22892211808  instructions retired\n          9048887801  cycles elapsed\n            31670656  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100039_eps_109.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100039_eps_109.csv
m25_n400_k350,m25_n400_k350,train,syn_vls_m25_n400_k350_s20267423,100040,20267423,25,400,350,2651,12,107,115,0.32857143,ok,1,0,0,1,10.142596,stageO_synthetic_dense_logging,10.153892,45203456,1792,1029,763,0.57421875,                9427  involuntary context switches\n         41898030123  instructions retired\n         23424829357  cycles elapsed\n            27214208  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100040_eps_115.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100040_eps_115.csv
m25_n400_k350,m25_n400_k350,train,syn_vls_m25_n400_k350_s20267425,100042,20267425,25,400,350,2682,12,108,116,0.33142857,ok,1,0,0,1,3.203252,stageO_synthetic_dense_logging,3.21595,29458432,1792,1348,444,0.75223214,                1651  involuntary context switches\n         21886935294  instructions retired\n          7621279175  cycles elapsed\n            25166208  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100042_eps_116.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100042_eps_116.csv
m25_n400_k350,m25_n400_k350,val,syn_vls_m25_n400_k350_s20267424,100041,20267424,25,400,350,2632,12,106,114,0.32571429,ok,1,0,0,1,5.799396,stageO_synthetic_dense_logging,5.812223,31391744,1792,1311,481,0.73158482,                4299  involuntary context switches\n         29098083639  instructions retired\n         13551347100  cycles elapsed\n            29884800  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100041_eps_114.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100041_eps_114.csv
m25_n400_k500,m25_n400_k500,train,syn_vls_m25_n400_k500_s20268420,100043,20268420,25,400,500,2665,12,107,115,0.23,ok,1,0,0,1,5.389410,stageO_synthetic_dense_logging,5.402026,57229312,1792,1113,679,0.62109375,                6560  involuntary context switches\n         28884832116  instructions retired\n         12500521981  cycles elapsed\n            56869272  peak memory footprint,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_exact_labeled_instance_100043_eps_115.csv,/Users/mac/Documents/Study/PFE/PaST/temp/phaseP_full_synthetic_freeze/per_instance/moves_broad_instance_100043_eps_115.csv
