split,bucket,M,N,K,instances_manifest,instances_labeled,instances_failed,exact_labeled_rows,positives,negatives,positive_rate,negative_rate,wall_runtime_sec,max_rss_bytes
val,m30_n350_k350,30,350,350,1,1,0,1792,1436,356,0.8013392857142857,0.19866071428571427,2.0651,22478848
val,m30_n350_k500,30,350,500,1,1,0,1792,1691,101,0.9436383928571429,0.056361607142857144,1.2381,14630912
val,m30_n400_k350,30,400,350,1,1,0,1792,1048,744,0.5848214285714286,0.41517857142857145,3.197277,35274752
val,m30_n400_k500,30,400,500,1,1,0,1792,1307,485,0.7293526785714286,0.27064732142857145,1.344068,18104320
val,m30_n500_k350,30,500,350,1,1,0,1792,1624,168,0.90625,0.09375,7.498185,45318144
val,m30_n500_k500,30,500,500,1,1,0,1792,1214,578,0.6774553571428571,0.32254464285714285,4.866612,37683200
val,m40_n250_k350,40,250,350,1,1,0,1792,1792,0,1.0,0.0,0.434255,3719168
val,m40_n250_k500,40,250,500,1,1,0,1792,1728,64,0.9642857142857143,0.03571428571428571,0.418593,4243456
val,m40_n300_k350,40,300,350,1,1,0,1792,1660,132,0.9263392857142857,0.07366071428571429,0.500754,3964928
val,m40_n300_k500,40,300,500,1,1,0,1792,1630,162,0.9095982142857143,0.09040178571428571,0.586729,4587520
val,m40_n350_k350,40,350,350,1,1,0,1792,1652,140,0.921875,0.078125,0.706789,4800512
val,m40_n350_k500,40,350,500,1,1,0,1792,1766,26,0.9854910714285714,0.014508928571428572,0.822315,6012928
val,m40_n400_k350,40,400,350,1,1,0,1792,1650,142,0.9207589285714286,0.07924107142857142,1.239436,8355840
val,m40_n400_k500,40,400,500,1,1,0,1792,1792,0,1.0,0.0,0.987813,5931008
val,m40_n500_k350,40,500,350,1,1,0,1792,1782,10,0.9944196428571429,0.005580357142857143,1.792678,27295744
val,m40_n500_k500,40,500,500,1,1,0,1792,1110,682,0.6194196428571429,0.38058035714285715,1.105272,10256384
